idx_original,dbscan_label
138082,0
126922,1
79270,2
223712,1
105746,1
215354,1
37794,3
205777,1
50174,0
71427,1
133659,0
148491,1
79761,1
109940,3
157963,3
60017,2
191897,1
76910,1
1543,1
101901,1
23141,2
226586,3
206369,1
45441,1
42568,3
124338,1
142110,1
135260,1
74704,1
44821,1
68957,1
54975,0
36055,1
179518,0
69753,2
145945,4
50267,2
172416,1
204424,1
24041,1
205175,2
67797,1
182252,1
172392,1
46755,1
115126,1
104408,3
13429,1
92483,1
92066,1
130690,1
206231,3
195937,1
154477,1
71173,3
232883,1
15894,1
181671,4
140682,4
128712,2
139466,3
138702,1
6994,1
130416,1
71448,1
4468,3
231877,4
2639,1
2074,1
225074,2
52907,1
47421,3
54712,1
128177,1
109194,1
14426,1
35714,1
157488,1
35641,1
50054,1
160451,1
150898,1
81030,1
17984,1
229675,1
116905,1
192794,2
97099,1
53142,4
210671,1
51145,1
140574,1
220185,1
197108,1
53418,1
138845,1
231454,1
63886,1
51152,1
130262,3
155186,1
147586,2
147208,1
179714,0
175837,1
228785,1
133645,2
10923,1
179789,2
124515,1
119349,1
209698,3
220918,1
141268,1
232192,1
55045,2
11980,1
85787,1
192747,0
229630,2
42186,1
118454,2
141848,1
220732,1
162665,3
197008,1
81696,1
175299,2
34524,4
145070,1
141709,1
108688,1
56347,1
60465,1
176866,3
148665,1
141435,1
194065,1
170166,1
118859,1
64385,1
81329,1
160950,1
72063,1
233729,1
147395,1
48535,1
190736,1
76663,1
42683,3
106541,1
148466,1
197590,3
128516,2
61934,1
163596,1
36148,1
147794,2
87519,1
222339,3
91619,1
22893,1
206723,1
131704,4
150018,1
26765,1
168191,1
83849,2
183033,1
14570,1
72769,1
195850,1
211398,1
204387,1
87013,1
8877,3
104583,3
49206,1
27083,1
179478,0
48677,1
102284,1
153302,1
55992,1
27334,1
115132,1
197543,3
76450,1
128523,0
222308,3
159524,1
31960,2
197312,1
198598,1
40408,1
200018,1
64805,0
142099,1
112055,1
159954,1
178003,4
160335,1
199659,1
139891,3
113753,0
232050,1
49619,1
12885,3
108035,0
45055,1
155456,1
152543,0
60367,0
117544,1
99320,3
106170,1
63021,1
222774,1
50553,0
72519,1
224595,1
143925,1
88479,2
189347,3
156150,1
24300,3
24500,3
186474,1
189947,1
28677,1
193182,1
157541,1
76456,1
79868,1
135403,1
170834,0
134095,1
208046,1
33641,1
134410,1
81663,1
199709,1
87064,1
72234,1
152881,1
129121,1
49857,1
178229,1
124571,1
65600,1
116684,1
159164,1
131325,4
54638,1
156359,1
117112,1
54946,2
119052,1
97388,1
78499,1
142759,1
206340,1
99436,3
227178,1
53449,1
89527,3
65923,1
228587,1
25902,1
204594,1
148805,3
193143,1
174194,1
210393,1
60996,1
63882,1
199147,1
27812,2
113571,2
181498,4
227775,1
232770,1
5227,1
137880,1
141629,1
154466,1
104058,1
225324,0
213395,1
29119,3
19494,1
194026,1
28164,2
71789,1
181042,1
16637,3
164365,1
83230,1
45326,1
7812,2
174268,1
168069,1
30700,1
96242,1
147413,1
26643,1
30992,1
132926,1
67752,1
1380,1
88740,2
61280,3
96435,1
155258,1
61791,1
145357,1
95517,1
98626,1
197546,3
3454,2
35064,1
184786,3
27639,0
183972,1
2417,1
90474,1
16564,3
199070,4
185781,1
152020,1
74671,1
39610,4
166364,2
136600,1
153360,1
9123,1
67291,1
22253,1
133431,2
41550,0
204318,1
176133,1
176862,3
189180,3
93057,2
218868,1
40219,1
188430,1
90402,1
66365,3
92451,1
220456,1
158260,3
84423,1
149466,1
106378,1
61739,3
101029,1
160629,1
80518,3
124176,1
203022,1
121521,4
224793,1
112538,1
162174,1
53138,1
49791,1
3578,2
6470,1
96225,1
148306,1
211460,1
87133,1
114140,1
194408,1
153092,1
46282,0
116344,1
40193,1
130174,3
91268,4
98077,2
102920,2
133703,2
164102,4
91864,1
17881,1
164052,1
228237,1
183185,1
106263,1
104014,1
71128,3
10356,1
97222,1
46929,1
35468,1
98220,2
127413,1
170429,2
125460,3
189462,3
152709,2
107748,1
100407,1
42165,1
224668,1
40799,1
52430,1
71014,3
112905,1
214819,4
209385,1
61661,3
169660,1
3783,1
183340,2
110423,1
102124,1
153928,3
30785,1
30768,1
78767,0
168557,1
159940,1
71709,1
36593,0
195189,1
213644,3
217437,1
89454,1
131619,1
49405,1
206052,3
207588,1
224347,1
146679,1
69400,2
123973,2
147406,1
173394,1
61992,1
169456,1
18422,1
105266,1
96838,1
109954,3
16866,1
177388,1
1362,1
213594,3
100432,1
3776,1
989,3
145731,1
89358,1
58415,1
144853,1
9960,1
159546,1
123339,1
48206,1
165879,2
128115,1
19121,2
148171,1
120838,1
61284,3
152140,2
98602,1
36323,2
114103,1
186409,1
207362,1
108228,2
113302,2
194010,1
112832,1
72506,1
209650,3
206020,3
14668,1
91147,1
222548,3
142309,1
93371,2
106709,1
122561,1
47726,1
207863,1
183247,1
108538,2
43770,4
81900,1
6614,1
119171,1
55876,1
44239,1
206971,1
24924,1
206552,1
195448,1
88879,1
138819,1
131041,1
99691,3
118235,2
8195,1
50714,0
16103,1
124026,0
64319,1
82139,1
175270,2
102310,1
50758,2
3984,1
47113,3
132456,1
143600,1
65761,1
29516,1
78112,1
11143,1
41952,1
153381,1
170057,1
167813,1
85512,1
204565,1
199039,1
53245,1
143546,1
77224,4
27901,2
230157,1
90630,1
228119,1
228240,1
92248,1
174142,1
136153,4
13390,1
58334,1
56335,1
180951,1
159773,4
230398,3
172672,1
15785,1
173936,1
137795,1
217462,1
60148,0
167886,1
122187,1
41922,1
100528,1
94125,1
33439,3
77890,1
113988,1
13017,1
132835,1
229562,2
77574,1
228857,1
43604,1
14379,1
226849,1
98953,1
202776,1
98028,0
137684,1
59064,1
55337,0
104060,1
178569,1
105811,1
77948,1
16621,3
37659,3
98744,1
96286,1
112711,1
19452,1
183018,1
66819,1
189617,1
30129,1
58121,4
84069,1
197724,3
77032,1
171814,3
99998,1
