tsne1,tsne2
-90.09431,47.057575
15.133543,-101.10307
-83.56498,-24.662643
-35.55471,-16.185919
-47.421337,-80.66199
-28.257442,-106.06468
92.13552,-57.04321
-60.712917,75.7155
-66.946014,39.23079
89.093636,37.00386
-80.59225,40.534603
-24.652761,79.94088
3.8403742,75.04915
79.50105,-5.060315
66.9979,-21.20857
-62.56546,5.372438
-24.808771,30.961195
0.91788894,-87.42903
-6.6754417,-67.712425
35.30931,-49.84025
-58.545616,4.9045177
54.958927,-44.535885
-9.957525,3.7737308
-28.297941,7.1900635
108.19193,-42.054855
-11.487628,104.98516
-49.617397,20.768333
49.243652,43.27602
-39.412407,112.17294
6.4947214,-50.541203
3.776984,31.97306
-87.02232,48.357475
20.764828,47.585075
-101.11034,46.224697
-82.29331,-30.907997
39.79021,-103.26164
-60.874836,6.584297
4.0518537,9.256702
-21.09178,51.846188
31.307524,107.09975
-106.35597,-18.667467
15.413947,-92.4578
-27.332743,-26.528416
-11.5674925,-4.8077197
3.0074522,78.36735
-1.3666203,-24.780731
97.36835,12.556109
74.880585,26.370922
-4.6022325,33.349827
8.022818,-49.98589
79.98429,52.332054
51.942947,-40.342457
-18.75337,51.088837
73.758095,51.32617
97.46529,-25.930786
30.975246,75.06631
21.416512,95.3607
51.07011,-105.94413
60.963966,-100.33799
-83.13723,7.5694423
66.47625,-45.778145
-34.331318,57.716873
28.444748,42.512363
-11.353413,-10.508942
7.2343087,-20.597364
109.91551,-6.492455
29.164501,-110.53071
-22.498133,-0.17797677
-9.404951,-61.858543
-108.807365,-25.261623
-42.660473,-86.811615
77.75345,0.7522871
9.418165,37.237034
0.33974224,47.229053
-8.500363,90.892624
18.7592,-64.01092
20.958849,33.44578
-64.23911,94.53394
-23.202742,-0.64162034
-23.821575,18.674692
-17.959959,42.341812
30.06836,-41.909466
72.20243,38.92689
3.2591212,-61.898285
-50.46032,66.72015
-66.12058,-49.79992
-99.51902,-5.541756
-12.208499,22.83896
44.414673,-84.500404
2.5062077,4.228346
-36.29881,102.959335
9.019515,-2.4420469
-31.994772,-16.55295
-50.941315,52.23238
-32.07281,-47.070473
-30.44813,60.275154
-36.45604,-112.19545
71.2872,82.59972
-36.29881,102.959335
100.733475,-29.637104
2.2695956,-104.09826
-100.532936,10.637487
-37.48842,18.321331
-99.68293,42.61852
-62.90792,92.3863
-45.14329,34.376053
-85.20411,3.8037682
28.214785,42.440907
-108.36971,0.6096945
-51.67475,111.1553
-4.6124635,109.938545
53.491108,-34.755806
-21.01219,53.986595
-29.736431,-94.22661
-33.517544,-12.154822
-64.032455,13.33242
13.926251,74.94258
35.366432,2.5481834
-96.58042,40.263947
-102.77664,-18.238962
23.194462,86.74438
-81.83522,7.097518
16.389822,-45.292137
34.66079,76.95518
71.22658,-22.097082
-63.426006,91.94499
-24.97262,-79.58823
-105.45146,-29.875837
42.47062,-78.06209
-3.4467156,-9.786112
-31.796677,-29.943327
-6.104268,101.02366
2.0498228,89.90261
6.4844513,66.2713
57.40092,-38.365173
-11.529729,81.65385
-39.939228,-33.44304
